orientacao_ma,Obstrução colabora com a orientação?,is_nominal,nome_proposicao,ementa_proposicao,obj_votacao,resumo,data,autor,tema,uri_tramitacao,id_proposicao,id_votacao,casa
SIM,sim,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação das expressões: ""porém, em caso de conversão nesses biomas e formas de vegetação para a produção agrícola com cultivos anuais ou perenes, respeitar-se-á o limite de manutenção da reserva legal, previstos na Lei 12.651, de 25 de maio de 2012"", constante da parte final do inciso V, do § 3º do art. 68 da Lei 12.651/2012, com redação dada pelo artigo 1º do PLV 09/2019, oferecido à MPV 867/2018, para fins de sua supressão, objeto do destaque para votação em separado do Bloco PP/MDB/PTB - DTQ 10.",Suprimido o texto. Sim: 21; não: 241; total: 262.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-117,camara
NÃO,sim,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do art. 60-A do PLV apresentado à MP 867/18, com vistas à sua supressão, objeto do destaque para votação em separado da bancada do PCdoB - DTQ 9.",Mantido o texto. Sim: 247; não: 31; abstenção: 3; total: 281.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-114,camara
NÃO,sim,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do §13 do art. 59 da Lei 12651/2012, contido no art. 1º do PLV nº 9/2019, apresentado à MPV 867/18, com vistas à supressão, objeto do destaque para votação em separado da bancada do PSB - DTQ 8.",Mantido o texto. Sim: 223; não: 31; abstenção: 2; total: 256.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-111,camara
NÃO,sim,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do §9º, do art. 59 da Lei 12.651/12, constante do art. 1º do PLV 9/19, para sua supressão, objeto do destaque para votação em separado da bancada do PSOL - DTQ 11.",Mantido o texto. Sim: 249; não: 13; abstenção: 1; total: 263.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-108,camara
Não,sim,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do art. 59 da Lei 12651/12, constante do art. 1º do PLV 9/19, apresentado à MP 867/18, com vistas à sua supressão, objeto do destaque para votação em separado da bancada do PT - DTQ 3.",Mantido o texto. Sim: 249; não: 22; abstenção: 2; total: 273.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-105,camara
NÃO,sim,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do art. 42 da Lei 12.651/12, constante do art. 1º do PLV 9/19, apresentado à MP 867/18, com vistas à sua supressão, objeto do destaque para votação em separado da bancada do PT - DTQ 2.",Mantido o texto. Sim: 240; não: 18; abstenção: 1; total: 259.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-103,camara
LIBERADO,NA,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação, em globo, da admissibilidade dos destaques simples.","Rejeitada a admissibilidade dos destaques simples. Em consequência, ficam prejudicados os referidos destaques. Sim: 9; não: 263; abstenção: 1; total: 273",NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-99,camara
Não,sim,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do inciso III do § 3º do art. 34 da Lei 12651/12, constante do art. 1º do PLV 9/19, apresentado à MP 867/18, com vistas à sua supressão, objeto do destaque para votação em separado da bancada do PT - DTQ 1.",Mantido o texto. Sim: 242; não: 17; abstenção: 1; total: 260.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-97,camara
SIM,NA,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",Continuação da votação em turno único.,Rejeitado o Requerimento. Sim: 12; não: 250; abstenção: 2; total: 264.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-94,camara
NÃO,sim,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do §3º do art. 68, da Lei 12.651/2012, contido no art. 1º do PLV nº 9/2019, apresentado à MPV 867/18, com vistas à supressão, objeto do destaque para votação em separado da bancada do PSB - DTQ 7.",Mantido o texto. Sim: 252; não: 79; abstenção: 2; total: 333.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-86,camara
